POP_V,BETA_V_WT,POP_KA,POP_CL,BETA_CL_WT,POP_TLAG,PPV_V,PPV_KA,PPV_CL,PPV_TLAG,r_V_CL,RUV_ADD,RUV_PROP
1.00000,NaN,-0.03810,0.16693,NaN,-0.00052,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.03810,NaN,1.00000,-0.01127,NaN,0.06742,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.16693,NaN,-0.01127,1.00000,NaN,0.01762,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.00052,NaN,0.06742,0.01762,NaN,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,NaN,0.00000,0.00000,NaN,0.00000,1.00000,-0.00545,0.02853,-0.00528,0.06952,0.01124,-0.08703
0.00000,NaN,0.00000,0.00000,NaN,0.00000,-0.00545,1.00000,-0.00187,-0.03233,0.00500,-0.01059,-0.02802
0.00000,NaN,0.00000,0.00000,NaN,0.00000,0.02853,-0.00187,1.00000,-0.00201,0.10431,-0.01269,-0.00576
0.00000,NaN,0.00000,0.00000,NaN,0.00000,-0.00528,-0.03233,-0.00201,1.00000,0.00569,-0.01951,-0.00705
0.00000,NaN,0.00000,0.00000,NaN,0.00000,0.06952,0.00500,0.10431,0.00569,1.00000,0.02555,-0.00508
0.00000,NaN,0.00000,0.00000,NaN,0.00000,0.01124,-0.01059,-0.01269,-0.01951,0.02555,1.00000,-0.69459
0.00000,NaN,0.00000,0.00000,NaN,0.00000,-0.08703,-0.02802,-0.00576,-0.00705,-0.00508,-0.69459,1.00000
