          ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
     V_pop;   8.02715;   0.33561;      4.18;        NaN
    KA_pop;   1.73067;   0.41329;     23.88;        NaN
    CL_pop;   0.13091;   0.00667;      5.10;        NaN
  TLAG_pop;   0.78121;   0.07143;      9.14;        NaN
   omega_V;   0.21432;   0.03251;     15.17;        NaN
  omega_KA;   0.83109;   0.19068;     22.94;        NaN
  omega_CL;   0.27838;   0.03717;     13.35;        NaN
omega_TLAG;   0.41138;   0.06874;     16.71;        NaN
corr(V,CL);   0.46207;   0.16386;     35.46;        NaN
         a;   0.00001;   0.00000;     35.36;        NaN
         b;   0.11751;   0.00683;      5.82;        NaN
